trace	state	block	B	Delta_prep	P	R	theta	|B|
1010	2	21	1	0.9	-1.0	1.0	1	0B
1011	3	21	1	-0.3	-1.0	1.0	1	0B
1012	4	21	1	0.3	-1.0	1.0	1	0B
1013	5	21	1	1.5	-1.0	1.0	1	0B
1014	6	21	1	-1.5	-1.0	1.0	1	0B
1015	7	21	1	1.5	-1.0	1.0	1	0B
1016	8	21	1	-0.3	-1.0	1.0	1	0B
1017	9	21	1	-0.9	-1.0	1.0	1	0B
1018	10	21	1	0.9	-1.0	1.0	1	0B
1019	11	21	1	0.3	-1.0	1.0	1	0B
1020	12	21	1	0.3	-1.0	1.0	-1	0B
1021	13	21	1	-0.3	-1.0	1.0	-1	0B
1022	14	21	1	0.9	-1.0	1.0	-1	0B
1023	15	21	1	1.5	-1.0	1.0	-1	0B
1024	16	21	1	-0.9	-1.0	1.0	-1	0B
1025	17	21	1	-1.5	-1.0	1.0	-1	0B
1026	18	21	1	-1.5	-1.0	1.0	-1	0B
1027	19	21	1	0.3	-1.0	1.0	-1	0B
1028	20	21	1	0.9	-1.0	1.0	-1	0B
1029	21	21	1	-0.9	-1.0	1.0	-1	0B
1030	22	21	1	-0.3	-1.0	1.0	-1	0B
1031	23	21	1	1.5	-1.0	1.0	-1	0B
1032	24	21	-1	-0.3	-1.0	1.0	1	0B
1033	25	21	-1	0.3	-1.0	1.0	1	0B
1034	26	21	-1	-0.9	-1.0	1.0	1	0B
1035	27	21	-1	1.5	-1.0	1.0	1	0B
1036	28	21	-1	-1.5	-1.0	1.0	1	0B
1037	29	21	-1	0.9	-1.0	1.0	1	0B
1038	30	21	-1	0.3	-1.0	1.0	-1	0B
1039	31	21	-1	-1.5	-1.0	1.0	-1	0B
1040	32	21	-1	-0.9	-1.0	1.0	-1	0B
1041	33	21	-1	-0.3	-1.0	1.0	-1	0B
1042	34	21	-1	0.9	-1.0	1.0	-1	0B
1043	35	21	-1	1.5	-1.0	1.0	-1	0B
1044	36	21	-1	-0.3	-1.0	1.0	-1	0B
1045	37	21	-1	0.3	-1.0	1.0	-1	0B
1046	38	21	-1	0.9	-1.0	1.0	-1	0B
1047	39	21	-1	-0.9	-1.0	1.0	-1	0B
1048	40	21	-1	-1.5	-1.0	1.0	-1	0B
1049	41	21	-1	1.5	-1.0	1.0	-1	0B
1050	42	21	-1	-1.5	-1.0	1.0	1	0B
1051	43	21	-1	0.9	-1.0	1.0	1	0B
1052	44	21	-1	-0.3	-1.0	1.0	1	0B
1053	45	21	-1	-0.9	-1.0	1.0	1	0B
1054	46	21	-1	1.5	-1.0	1.0	1	0B
1055	47	21	-1	0.3	-1.0	1.0	1	0B
1056	0	22	-1	-0.9	-1.0	-1.0	1	0B
1057	1	22	-1	0.3	-1.0	-1.0	1	0B
1058	2	22	-1	0.9	-1.0	-1.0	1	0B
1059	3	22	-1	-0.3	-1.0	-1.0	1	0B
1060	4	22	-1	1.5	-1.0	-1.0	1	0B
1061	5	22	-1	-1.5	-1.0	-1.0	1	0B
1062	6	22	-1	0.9	-1.0	-1.0	-1	0B
1063	7	22	-1	0.3	-1.0	-1.0	-1	0B
1064	8	22	-1	-0.3	-1.0	-1.0	-1	0B
1065	9	22	-1	-0.9	-1.0	-1.0	-1	0B
1066	10	22	-1	-1.5	-1.0	-1.0	-1	0B
1067	11	22	-1	1.5	-1.0	-1.0	-1	0B
1068	12	22	-1	0.9	-1.0	-1.0	1	0B
1069	13	22	-1	0.3	-1.0	-1.0	1	0B
1070	14	22	-1	-0.9	-1.0	-1.0	1	0B
1071	15	22	-1	1.5	-1.0	-1.0	1	0B
1072	16	22	-1	-1.5	-1.0	-1.0	1	0B
1073	17	22	-1	-0.3	-1.0	-1.0	1	0B
1074	18	22	-1	0.9	-1.0	-1.0	-1	0B
1075	19	22	-1	-1.5	-1.0	-1.0	-1	0B
1076	20	22	-1	0.3	-1.0	-1.0	-1	0B
1077	21	22	-1	1.5	-1.0	-1.0	-1	0B
1078	22	22	-1	-0.3	-1.0	-1.0	-1	0B
1079	23	22	-1	-0.9	-1.0	-1.0	-1	0B
1080	24	22	1	1.5	-1.0	-1.0	-1	0B
1081	25	22	1	-0.3	-1.0	-1.0	-1	0B
1082	26	22	1	0.3	-1.0	-1.0	-1	0B
1083	27	22	1	0.9	-1.0	-1.0	-1	0B
1084	28	22	1	-0.9	-1.0	-1.0	-1	0B
1085	29	22	1	-1.5	-1.0	-1.0	-1	0B
1086	30	22	1	-1.5	-1.0	-1.0	1	0B
1087	31	22	1	-0.3	-1.0	-1.0	1	0B
1088	32	22	1	0.9	-1.0	-1.0	1	0B
1089	33	22	1	1.5	-1.0	-1.0	1	0B
1090	34	22	1	-0.9	-1.0	-1.0	1	0B
1091	35	22	1	0.3	-1.0	-1.0	1	0B
1092	36	22	1	0.3	-1.0	-1.0	-1	0B
1093	37	22	1	-0.9	-1.0	-1.0	-1	0B
1094	38	22	1	0.9	-1.0	-1.0	-1	0B
1095	39	22	1	1.5	-1.0	-1.0	-1	0B
1096	40	22	1	-1.5	-1.0	-1.0	-1	0B
1097	41	22	1	-0.3	-1.0	-1.0	-1	0B
1098	42	22	1	-0.9	-1.0	-1.0	1	0B
1099	43	22	1	-1.5	-1.0	-1.0	1	0B
1100	44	22	1	0.3	-1.0	-1.0	1	0B
1101	45	22	1	0.9	-1.0	-1.0	1	0B
1102	46	22	1	-0.3	-1.0	-1.0	1	0B
1103	47	22	1	1.5	-1.0	-1.0	1	0B
1104	0	23	1	-1.5	1.0	1.0	1	0B
1105	1	23	1	-0.9	1.0	1.0	1	0B
1106	2	23	1	-0.3	1.0	1.0	1	0B
1107	3	23	1	0.3	1.0	1.0	1	0B
1108	4	23	1	0.9	1.0	1.0	1	0B
1109	5	23	1	1.5	1.0	1.0	1	0B
1110	6	23	1	-1.5	1.0	1.0	-1	0B
1111	7	23	1	0.3	1.0	1.0	-1	0B
1112	8	23	1	1.5	1.0	1.0	-1	0B
1113	9	23	1	-0.3	1.0	1.0	-1	0B
1114	10	23	1	-0.9	1.0	1.0	-1	0B
1115	11	23	1	0.9	1.0	1.0	-1	0B
1116	12	23	1	1.5	1.0	1.0	-1	0B
1117	13	23	1	0.3	1.0	1.0	-1	0B
1118	14	23	1	-0.9	1.0	1.0	-1	0B
1119	15	23	1	-1.5	1.0	1.0	-1	0B
1120	16	23	1	-0.3	1.0	1.0	-1	0B
1121	17	23	1	0.9	1.0	1.0	-1	0B
1122	18	23	1	1.5	1.0	1.0	1	0B
1123	19	23	1	-0.3	1.0	1.0	1	0B
1124	20	23	1	-1.5	1.0	1.0	1	0B
1125	21	23	1	0.9	1.0	1.0	1	0B
1126	22	23	1	-0.9	1.0	1.0	1	0B
1127	23	23	1	0.3	1.0	1.0	1	0B
1128	24	23	-1	1.5	1.0	1.0	-1	0B
1129	25	23	-1	-0.9	1.0	1.0	-1	0B
1130	26	23	-1	0.3	1.0	1.0	-1	0B
1131	27	23	-1	-0.3	1.0	1.0	-1	0B
1132	28	23	-1	-1.5	1.0	1.0	-1	0B
1133	29	23	-1	0.9	1.0	1.0	-1	0B
1134	30	23	-1	-0.3	1.0	1.0	-1	0B
1135	31	23	-1	-1.5	1.0	1.0	-1	0B
1136	32	23	-1	1.5	1.0	1.0	-1	0B
1137	33	23	-1	0.9	1.0	1.0	-1	0B
1138	34	23	-1	-0.9	1.0	1.0	-1	0B
1139	35	23	-1	0.3	1.0	1.0	-1	0B
1140	36	23	-1	0.9	1.0	1.0	1	0B
1141	37	23	-1	-0.9	1.0	1.0	1	0B
1142	38	23	-1	0.3	1.0	1.0	1	0B
1143	39	23	-1	-1.5	1.0	1.0	1	0B
1144	40	23	-1	1.5	1.0	1.0	1	0B
1145	41	23	-1	-0.3	1.0	1.0	1	0B
1146	42	23	-1	0.3	1.0	1.0	1	0B
1147	43	23	-1	1.5	1.0	1.0	1	0B
1148	44	23	-1	-1.5	1.0	1.0	1	0B
1149	45	23	-1	0.9	1.0	1.0	1	0B
1150	46	23	-1	-0.3	1.0	1.0	1	0B
1151	47	23	-1	-0.9	1.0	1.0	1	0B
