trace	state	block	B	Delta_prep	P	R	theta	|B|
137	41	2	1	-0.9	1.0	1.0	1	1B
138	42	2	1	-0.3	1.0	1.0	-1	1B
139	43	2	1	0.9	1.0	1.0	-1	1B
140	44	2	1	1.5	1.0	1.0	-1	1B
141	45	2	1	0.3	1.0	1.0	-1	1B
142	46	2	1	-1.5	1.0	1.0	-1	1B
143	47	2	1	-0.9	1.0	1.0	-1	1B
144	0	3	1	-0.3	-1.0	-1.0	1	1B
145	1	3	1	0.3	-1.0	-1.0	1	1B
146	2	3	1	-1.5	-1.0	-1.0	1	1B
147	3	3	1	-0.9	-1.0	-1.0	1	1B
148	4	3	1	0.9	-1.0	-1.0	1	1B
149	5	3	1	1.5	-1.0	-1.0	1	1B
150	6	3	1	-0.3	-1.0	-1.0	-1	1B
151	7	3	1	0.3	-1.0	-1.0	-1	1B
152	8	3	1	-1.5	-1.0	-1.0	-1	1B
153	9	3	1	0.9	-1.0	-1.0	-1	1B
154	10	3	1	-0.9	-1.0	-1.0	-1	1B
155	11	3	1	1.5	-1.0	-1.0	-1	1B
156	12	3	1	-1.5	-1.0	-1.0	1	1B
157	13	3	1	0.3	-1.0	-1.0	1	1B
158	14	3	1	-0.3	-1.0	-1.0	1	1B
159	15	3	1	1.5	-1.0	-1.0	1	1B
160	16	3	1	-0.9	-1.0	-1.0	1	1B
161	17	3	1	0.9	-1.0	-1.0	1	1B
162	18	3	1	-0.3	-1.0	-1.0	-1	1B
163	19	3	1	0.9	-1.0	-1.0	-1	1B
164	20	3	1	-1.5	-1.0	-1.0	-1	1B
165	21	3	1	-0.9	-1.0	-1.0	-1	1B
166	22	3	1	0.3	-1.0	-1.0	-1	1B
167	23	3	1	1.5	-1.0	-1.0	-1	1B
168	24	3	-1	-0.3	-1.0	-1.0	-1	1B
169	25	3	-1	-0.9	-1.0	-1.0	-1	1B
170	26	3	-1	0.9	-1.0	-1.0	-1	1B
171	27	3	-1	0.3	-1.0	-1.0	-1	1B
172	28	3	-1	-1.5	-1.0	-1.0	-1	1B
173	29	3	-1	1.5	-1.0	-1.0	-1	1B
174	30	3	-1	-1.5	-1.0	-1.0	-1	1B
175	31	3	-1	0.9	-1.0	-1.0	-1	1B
176	32	3	-1	1.5	-1.0	-1.0	-1	1B
177	33	3	-1	0.3	-1.0	-1.0	-1	1B
178	34	3	-1	-0.3	-1.0	-1.0	-1	1B
179	35	3	-1	-0.9	-1.0	-1.0	-1	1B
180	36	3	-1	-0.9	-1.0	-1.0	1	1B
181	37	3	-1	0.9	-1.0	-1.0	1	1B
182	38	3	-1	0.3	-1.0	-1.0	1	1B
183	39	3	-1	-1.5	-1.0	-1.0	1	1B
184	40	3	-1	1.5	-1.0	-1.0	1	1B
185	41	3	-1	-0.3	-1.0	-1.0	1	1B
186	42	3	-1	0.9	-1.0	-1.0	1	1B
187	43	3	-1	1.5	-1.0	-1.0	1	1B
188	44	3	-1	-0.9	-1.0	-1.0	1	1B
189	45	3	-1	-1.5	-1.0	-1.0	1	1B
190	46	3	-1	0.3	-1.0	-1.0	1	1B
