
																																																		
Interferometer Scan																																																		
56881.553080	25745.357537	35098.107576	47926.888366	25893.387633	47789.291602	25932.593889	34787.751363	56966.318653	34860.574966	57105.785815	35391.799296	56861.025894	25883.160084	57068.476170	34853.853594	56892.095201	34914.563523	47556.661084	34796.143903	56666.720829	25924.441211	56745.281454	34862.424392	56652.433981	34605.409239	56855.156490	35033.782682	56836.945347	25815.325082	47761.213358	25901.072384	47568.401203	34870.818243	56633.716900	35012.727276	56907.477811	34911.522652	47804.071281	34810.886881	56795.736310	34792.005960	47863.803412	35220.077937	34996.551680	47864.654070	34864.825631	56888.759419	35008.324567	47823.674409	35103.161713
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
-43.990500	19.941113	5447.080617	8.464125	13.758802	9.254693																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:51:23 PM																																																	
X position (cm)																																																		
7.486316																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5517.118125	5461.587375	5499.782625	5506.688250	5470.255125	5489.352750	5465.064000	5477.208375	5463.349500	5503.211625	5508.450375	5472.017250	5485.876125	5451.205125	5468.540625	5487.638250	5456.396250	5524.023750	5458.110750	5511.927000	5449.443000	5525.785875	5484.161625	5492.829375	5496.306000	5447.728500	5498.020500	5529.262500	5452.919625	5513.641500	5491.067250	5520.594750	5518.832625	5454.681750	5466.778500	5510.164875	5478.922875	5459.872875	5445.966375	5515.356000	5527.500375	5482.399500	5473.731750	5522.309250	5480.685000	5501.497125	5504.973750	5475.493875	5530.977000	5494.543875	5488.495500
Fringe Signal																																																		
2.015722	1.871369	39.145608	10.115334	3.830279	112.538897	1.960420	13.955110	2.215741	17.968764	6.872801	6.066037	131.695285	1.716908	2.577411	187.977240	1.629697	1.700457	1.559697	12.354300	1.672979	1.546634	95.421877	77.989910	39.375256	1.618417	151.219730	1.561904	1.582478	6.014793	202.025919	1.729289	1.767850	1.712766	2.079374	4.799194	62.684867	1.702527	1.638995	2.996544	1.661839	27.862871	5.654142	1.800881	32.647544	23.879967	23.983101	33.145133	1.609596	51.730503	82.747793
Laser Intensity Signal																																																		
34580.729692	56547.139912	25692.805530	56483.639460	34517.364244	56630.423060	34545.902551	56431.605187	56417.095516	56380.780708	34700.072059	45610.287759	45618.411602	36500.006502	36737.501102	45984.839107	45459.013632	36683.899208	45556.944077	45406.752604	45576.524923	45389.681787	45704.379105	45715.955384	36721.950720	45437.363159	36832.663306	45544.595784	45559.881400	45551.321088	37083.369964	45557.172142	45602.271396	45596.091351	36500.904346	45614.552842	36635.975352	36655.982182	45657.060803	45549.385155	36370.152161	45572.900782	45575.187988	36666.948977	36582.306611	45449.946071	45562.774159	45628.041462	45240.795791	36596.738949	45525.575926
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
128.732286	10.933990	5489.718540	0.701262	6.533032	0.685026																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:52:29 PM																																																	
X position (cm)																																																		
9.357895																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5448.776250	5485.209375	5495.639250	5473.065000	5471.350500	5452.252875	5504.307000	5519.880375	5528.595750	5507.783625	5464.397250	5490.400500	5476.541625	5497.353750	5525.119125	5509.498125	5478.256125	5516.451375	5483.494875	5457.444000	5523.357000	5481.732750	5455.729500	5493.877125	5474.779500	5512.974750	5521.642500	5459.206125	5460.920625	5526.833625	5511.212625	5502.544875	5480.018250	5506.021500	5486.923875	5467.873875	5450.538375	5488.686000	5532.024750	5499.068250	5462.682750	5492.162625	5530.310250	5518.165875	5514.689250	5500.830375	5466.111750	5453.967375	5447.061750	5469.588375	5489.543250
Fringe Signal																																																		
1.496551	21.453360	275.288910	2.739512	1.989329	1.699929	164.699473	2.389080	1.628043	34.159063	1.580115	46.463411	4.488761	174.635079	1.619081	13.296891	24.600037	6.426214	13.904975	1.556884	2.410654	12.813675	1.490612	145.377019	3.897687	6.593037	2.087236	1.538881	1.653245	1.557229	32.396864	42.328233	8.580007	33.933594	125.814181	1.759565	1.642576	73.994358	1.727357	53.750473	1.555879	227.933296	1.473309	2.564587	7.149417	79.496315	1.606330	1.680435	1.515496	1.795006	37.800855
Laser Intensity Signal																																																		
34493.485548	56390.248038	35262.888673	56339.036897	34586.907116	47435.979162	34965.259551	56410.190643	25649.745756	56521.807626	34616.902943	56357.928305	34545.536860	57062.259425	34325.278228	56211.113247	34413.901251	56407.265116	25651.108905	56042.693591	34498.112389	47433.112617	34437.274010	56498.421760	34419.496714	34579.234161	56132.114842	34516.234404	56089.276580	34461.253632	56288.056443	34413.346816	47448.552899	34442.633544	47547.974943	25545.050685	56180.223508	34524.792095	47104.743178	56321.343488	34653.238723	47763.448136	34482.067866	56194.052915	34455.057859	56586.641080	34462.390026	47509.046559	34544.614113	56260.187914	34593.271972
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
180.999354	19.148234	5495.291325	0.561215	4.863518	0.575628																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:53:35 PM																																																	
X position (cm)																																																		
11.229474																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5455.872375	5468.016750	5513.117625	5533.929750	5478.446625	5483.637750	5466.302250	5495.782125	5492.305500	5480.161125	5485.352250	5469.731250	5487.114375	5511.403125	5500.973250	5518.308750	5520.070875	5452.395750	5516.594250	5473.207875	5488.828875	5474.970000	5499.258750	5535.691875	5461.063500	5532.215250	5532.215250	5457.634500	5509.641000	5502.735375	5530.453125	5490.591000	5462.825625	5464.540125	5481.875625	5459.349000	5476.684500	5525.262000	5471.493375	5507.926500	5521.785375	5497.496625	5523.547500	5454.157875	5494.020000	5526.976500	5506.164375	5528.738625	5514.879750	5537.406375	5494.924875
Fringe Signal																																																		
1.536717	1.480571	19.727084	1.532273	3.369481	5.141291	1.518637	134.693891	40.403377	3.922581	17.650849	1.644532	11.843007	26.668928	93.245288	6.635188	5.189002	1.499185	15.006273	1.852586	21.098349	3.077535	60.208474	1.495579	1.573134	1.519328	1.489368	1.555583	118.937507	50.166288	1.640181	79.500284	1.547902	1.686594	7.893190	1.503423	1.975461	2.134148	1.720501	164.114987	3.493723	70.071253	5.114108	1.500502	38.573356	2.876482	79.148694	1.632940	12.667770	1.519642	56.164132
Laser Intensity Signal																																																		
55299.381658	33791.203082	46581.312389	33781.567980	55267.432858	33741.568737	33779.031736	46955.815240	25180.797665	55285.105295	33627.914895	46472.741519	55550.904893	25051.669463	55571.765002	24910.375158	46644.057866	44549.244191	44455.454310	35973.603000	44505.521193	44531.314852	44608.652575	44462.052475	35934.893507	44498.995118	44620.580127	55383.891640	34182.110904	55304.658616	25192.920515	55523.683860	25065.547366	46550.016328	33874.849300	33718.051799	55299.149660	24950.248571	55104.183992	34055.474381	55199.898010	33974.851994	55050.874388	33612.053873	55305.709814	33733.648056	55335.868170	33746.873221	55317.250703	25149.842391	55355.217019
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
15.109231	3467.560405	4945.612668	920981.157080	1049.304027	879063.396316																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:54:41 PM																																																	
X position (cm)																																																		
13.101053																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5454.348375	5463.016125	5466.492750	5513.308125	5471.683875	5475.160500	5508.117000	5518.499250	5468.207250	5490.781500	5525.452500	5534.120250	5459.539500	5476.875000	5511.593625	5457.825000	5482.066125	5515.070250	5489.019375	5509.831500	5502.925875	5504.640375	5521.975875	5452.586250	5492.496000	5487.304875	5501.163750	5535.882375	5532.405750	5506.354875	5527.214625	5537.596875	5497.687125	5483.828250	5523.738000	5469.969375	5499.449250	5528.929125	5494.210500	5461.254000	5520.261375	5473.398375	5485.542750	5478.637125	5495.972625	5464.730625	5516.784750	5480.351625	5530.643625	5456.062875	5495.115375
Fringe Signal																																																		
1.437709	1.556740	1.412158	43.551556	1.577508	1.784394	62.690403	30.111698	1.544843	10.662860	3.597542	2.095038	1.493296	1.806730	49.684747	1.550506	2.279632	28.820564	34.334833	52.198909	67.649022	137.331454	9.610877	1.588855	15.336616	26.601613	56.964567	1.598486	1.897292	140.126403	2.683513	1.593212	170.827016	3.348922	3.995726	1.608944	122.987214	2.452206	43.556521	1.556699	10.762772	1.575992	4.077703	3.017261	25.361723	1.584187	72.381497	2.352197	1.934090	1.480269	98.871073
Laser Intensity Signal																																																		
34292.873298	55546.795786	34145.249526	55722.649846	34055.176847	46778.970276	25552.478536	55750.379438	25354.056499	55424.766444	34126.334525	55402.153902	34204.284355	46933.590671	25429.207941	55630.570455	25394.405704	55702.830449	25543.802880	55795.160187	34426.895729	55835.318026	34271.718277	55665.914020	34319.452078	46978.834104	34496.200049	47018.567270	44841.718252	45394.906317	44917.068923	36149.445263	45313.441137	44947.763364	45047.067443	36154.356531	45516.756091	44997.659853	45203.997327	36091.795866	45085.206774	45048.213012	45136.588308	45048.304763	45176.231035	36158.503649	36199.308984	45059.620209	36266.379837	45041.222943	45173.760328
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
106.514856	9.642950	5503.033169	0.786605	7.815265	0.810453																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:55:47 PM																																																	
X position (cm)																																																		
14.972632																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5479.208625	5487.924000	5519.118375	5470.540875	5503.497375	5501.782875	5491.353000	5508.736125	5510.450625	5494.829625	5493.115125	5539.930500	5461.873125	5534.739375	5500.068375	5513.927250	5517.403875	5529.548250	5480.970750	5498.306250	5484.447375	5477.494125	5522.595000	5468.826375	5505.259500	5465.349750	5467.064250	5482.685250	5538.216000	5474.017500	5524.309500	5472.303000	5533.024875	5545.169250	5527.786125	5506.974000	5526.071625	5460.158625	5531.262750	5496.591750	5541.692625	5463.635250	5489.638500	5515.641750	5475.779625	5520.880500	5543.407125	5536.453875	5512.165125	5486.161875	5502.640125
Fringe Signal																																																		
1.723292	5.737578	39.652477	1.607553	61.743813	208.343357	9.885521	64.006478	271.160681	21.102670	11.499649	1.612032	1.641394	1.749937	45.342670	114.077916	59.797556	3.327745	1.874397	101.293211	2.552301	1.674719	50.727023	1.543071	49.382300	1.594033	1.605687	1.917805	1.639513	1.669415	10.338008	1.525451	2.236926	1.591674	3.247837	62.728714	15.981704	1.510094	2.346762	53.292959	1.616538	1.587499	4.689729	121.047137	1.664024	19.851882	1.586729	1.873051	58.735418	2.826009	153.194767
Laser Intensity Signal																																																		
25959.976141	56110.058045	25892.152934	47339.561288	56169.444147	34992.209265	34591.733187	56203.454710	35021.346570	34530.690335	47359.863030	25796.196434	56242.043617	34755.339878	45682.919997	45821.162947	36858.762363	45489.329275	45592.389878	45688.080302	36797.456056	36728.610488	36633.000018	45566.049649	36615.497974	45348.151624	36820.358267	36685.410468	45311.113298	45584.461332	45365.921055	45450.770514	45462.868460	36622.389740	45456.561275	36890.994278	45409.031946	45523.194348	45666.568765	45650.787697	45582.965801	36830.893834	36502.245212	36594.565775	36645.450547	45623.611228	45628.450406	45604.304323	45792.165888	36710.225019	45867.212472
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
244.665475	52.753578	5510.419638	0.464452	0.873348	0.242543																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:56:53 PM																																																	
X position (cm)																																																		
16.844211																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5546.074125	5521.785375	5526.976500	5511.355500	5530.453125	5532.167625	5481.875625	5540.835375	5549.550750	5490.543375	5520.023250	5483.590125	5478.399000	5497.496625	5471.493375	5533.929750	5494.020000	5500.973250	5547.788625	5502.687750	5473.207875	5539.120875	5474.922375	5476.684500	5485.352250	5523.499875	5468.016750	5509.641000	5469.731250	5487.066750	5507.878875	5499.211125	5464.540125	5542.597500	5488.828875	5537.406375	5528.738625	5492.305500	5525.262000	5514.832125	5495.734500	5513.117625	5504.449875	5535.644250	5516.594250	5506.164375	5518.308750	5466.254625	5544.312000	5480.161125	5507.021625
Fringe Signal																																																		
1.406476	22.960182	27.191287	205.580280	4.020286	3.869746	2.238530	1.606769	1.473449	8.448196	52.484817	1.772968	1.571280	27.848024	1.420249	2.428182	22.698836	56.129500	1.455243	96.402655	1.452716	1.746170	1.467380	1.585989	1.877048	21.223473	1.441681	225.138645	1.442947	2.072128	186.953554	39.749508	1.438664	1.552148	6.629344	1.819765	4.538955	11.608436	24.982507	58.252648	12.052850	244.355421	76.156254	2.128725	168.702299	89.551548	43.958244	1.464606	1.652840	1.649086	53.215410
Laser Intensity Signal																																																		
34171.351204	55617.206354	44799.054316	45300.775649	45091.090596	36102.568673	44713.212641	44769.089946	44725.190001	55348.406518	34167.008788	55525.538529	25287.114097	55445.993554	34138.956759	55785.620767	25412.597187	46972.862464	34367.968379	47050.658939	33934.260306	47069.733847	34126.313554	46936.995922	35964.064891	35897.333514	44830.246830	45347.240673	44743.752417	44855.041720	45215.029658	44930.249523	44925.954294	44897.768571	36205.173146	44976.549396	36184.728535	44793.701335	36167.666893	44928.710738	36045.729300	36494.962852	45074.523095	44758.567485	36536.558551	36227.227320	36160.524780	45082.679706	36150.598697	44925.588603	44944.958423
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
195.975897	14.992109	5511.306449	0.397035	4.740663	0.419883																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:57:59 PM																																																	
X position (cm)																																																		
18.715789																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5509.974375	5494.401000	5482.256625	5478.780000	5504.783250	5537.739750	5518.689750	5530.834125	5511.736500	5503.068750	5527.357500	5534.263125	5475.303375	5523.880875	5490.924375	5489.162250	5471.826750	5468.350125	5544.693000	5496.115500	5497.830000	5541.216375	5483.971125	5522.118750	5515.213125	5480.494500	5553.360750	5520.404250	5487.447750	5501.306625	5477.017875	5492.638875	5529.072000	5485.733250	5548.169625	5470.112250	5542.978500	5539.501875	5516.927625	5513.451000	5532.548625	5506.545375	5525.595375	5546.407500	5508.259875	5551.646250	5499.592125	5549.884125	5473.588875	5536.025250	5510.879250
Fringe Signal																																																		
251.732180	6.134011	1.781769	1.642207	45.225155	2.265506	44.021682	24.466601	127.534663	25.641488	27.445099	8.588288	1.516549	32.739616	6.626665	2.301470	1.461913	1.689741	1.610987	7.188560	7.761750	2.377612	1.737422	33.061892	76.090705	1.555481	1.637938	43.185299	2.738845	23.043251	1.689558	3.902937	25.555636	1.744089	1.696868	1.570963	1.750385	1.775101	89.410349	220.171272	5.878588	47.489427	66.755645	1.603215	57.820483	1.509389	27.013854	1.565420	1.590442	6.284516	70.197142
Laser Intensity Signal																																																		
57088.026870	34838.412001	47700.232110	34914.066760	48028.077261	34865.005199	56889.330893	26134.802596	56980.176896	35234.063319	35069.010903	47971.624550	34727.826555	26215.481344	47998.976655	47818.499686	35030.946284	47818.841784	35030.834872	56680.160952	35023.462072	47667.888783	35029.269873	56899.211100	35376.407511	35119.769846	56664.351048	57046.643507	35103.210209	26157.893550	57010.357535	26278.888735	47934.308352	26246.052577	47981.884867	35243.348460	56628.985201	26265.966346	57032.405156	26525.256909	56828.139930	35328.117965	48192.516260	26366.210212	48019.530056	35158.618276	48010.431037	26340.586947	56950.903276	37175.759995	46158.442660
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
149.310416	15.662241	5512.290702	0.536314	4.035054	0.534673																																													

																																																		
Interferometer Scan																																																		
Tuesday, March 22, 2016	11:59:05 PM																																																	
X position (cm)																																																		
20.587368																																																		
Y position (cm)																																																		
0.000000																																																		
Interferometer Positions (um)																																																		
5542.311750	5504.164125	5488.543125	5531.929500	5528.452875	5509.355250	5514.594000	5533.644000	5492.019750	5500.687500	5524.976250	5485.066500	5481.637500	5512.831875	5490.305250	5476.398750	5498.973000	5538.882750	5497.210875	5518.023000	5507.640750	5545.788375	5469.493125	5486.828625	5472.922125	5521.499625	5511.117375	5478.160875	5547.550500	5530.167375	5502.449625	5537.120625	5495.496375	5523.261750	5519.785125	5516.308500	5474.684250	5505.878625	5483.352000	5540.597250	5471.207625	5526.738375	5535.406125	5535.406125	5550.979500	5479.875375	5549.265000	5552.741625	5544.073875	5554.456125	5511.974625
Fringe Signal																																																		
2.145797	115.373391	2.207471	9.266617	38.457355	60.550722	64.579924	6.128866	5.757303	16.175766	26.173193	2.044758	1.917253	67.278083	2.830827	1.769623	7.486755	2.602159	18.387978	71.665038	48.491172	1.836030	1.843484	2.126478	1.844687	111.434880	129.480206	1.706288	1.862191	30.347687	34.929382	2.639391	10.325847	58.642336	44.525777	71.331029	1.892987	32.255318	1.977735	2.441392	1.866652	20.091536	4.281111	9.885329	1.824032	1.722105	1.920515	1.772808	1.908309	1.679563	272.877857
Laser Intensity Signal																																																		
59817.252618	28583.147602	50687.917425	37646.214103	28489.524183	50831.308882	37647.267922	59968.048333	37750.707323	59938.167849	37578.123510	60122.992476	28334.667858	60101.656576	59853.326254	28322.046935	59953.453466	37701.603820	60053.804810	37647.151268	60017.588306	37480.387052	59910.535250	28463.248179	59823.368438	37718.204088	60205.109084	37690.116669	60313.776947	28627.763200	60246.893527	37727.330632	60004.904468	37820.799386	50887.051182	28598.865756	50947.371827	37714.884035	50702.749532	37760.844431	50919.597670	37666.458173	60119.941120	37569.557955	60003.222815	37668.040212	60020.204503	37769.158328	60048.606495	37810.358190	51252.922941
Gaussian Fit																																																		
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																																		
12.842146	2406.663605	5943.926242	20953285.827495	4908.997967	118995209.660218																																													
