
																																								
Interferometer Scan																																								
3.225926	3.261373	3.469501	3.205935	3.335575	3.317361	3.506250	260.805536	54.065017	3.160013	103.307727	3.126749	3.160063	139.881953	3.279890	3.262563	66.520732	3.240535	24.283815	3.253542	91.816021	3.201804	207.952915	138.697820	3.326796	3.236716	3.188259	3.207485	216.494073	5.876948	15.946857	11.917165	3.258464	4.051457	3.287274	175.242654	250.975798	202.263083	248.679710	8.403165	3.730265
Laser Intensity Signal																																								
65255.642235	32261.254676	55564.660900	42098.033951	55365.168005	41979.906621	54158.782628	42878.633247	55588.510761	42044.219720	65127.866696	42591.386337	41451.172659	44098.058977	43778.842296	41363.876086	41564.481782	53853.501522	53970.453135	54062.773699	44330.508616	53913.909985	44381.416980	54167.754506	54039.980278	53664.566477	53710.336819	53931.963843	44402.020188	53916.484239	44040.456765	44079.449375	54250.767647	44169.655747	44080.517612	54186.244833	44613.946573	44383.995167	44489.763717	44063.193825	54275.541565
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
8354.690343	143631.894029	5273.413844	910.104568	77.199924	155.492491																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:36:23 AM																																							
X position (cm)																																								
35.560000																																								
Y position (cm)																																								
12.700000																																								
Interferometer Positions (um)																																								
5509.021875	5513.165250	5482.399500	5521.356750	5457.777375	5478.256125	5527.500375	5465.968875	5523.404625	5455.729500	5511.117375	5515.213125	5468.016750	5449.538250	5461.873125	5463.921000	5453.681625	5472.112500	5459.825250	5496.734625	5504.926125	5484.447375	5498.782500	5525.452500	5476.208250	5506.974000	5500.830375	5502.878250	5519.308875	5480.304000	5447.490375	5517.261000	5470.064625	5494.686750	5494.686750	5486.495250	5451.586125	5488.543125	5490.591000	5492.638875	5487.495375
Fringe Signal																																								
3.832882	3.135010	245.789170	2.716928	4.316148	175.128625	2.802228	20.679004	2.705288	3.421420	3.554591	3.031724	34.767660	2.862290	6.299467	9.667601	3.104927	63.856764	5.011252	66.323931	8.662556	252.235845	38.746324	2.682057	159.395510	5.793986	18.308788	13.995420	2.769962	226.436178	2.847324	2.703935	52.972406	94.546872	94.111651	222.052158	2.869055	207.235280	174.668618	131.843159	211.385490
Laser Intensity Signal																																								
