time	Stem Pressure (Torr)	time	Beam Box Pressure (Torr)	time	Dump Region Pressure (Torr)
2016-02-22T16:19:04.037000	2.96e-08	2016-02-22T16:19:06.597000	7.84e-08	2016-02-22T16:19:05.570000	0.000641
2016-02-22T16:19:08.537000	2.96e-08	2016-02-22T16:19:11.093000	7.86e-08	2016-02-22T16:19:10.060000	0.000641
2016-02-22T16:19:12.537000	2.96e-08	2016-02-22T16:19:15.587000	7.84e-08	2016-02-22T16:19:14.070000	0.00064
2016-02-22T16:19:16.537000	2.96e-08	2016-02-22T16:19:19.587000	7.84e-08	2016-02-22T16:19:18.560000	0.000641
2016-02-22T16:19:20.537000	2.96e-08	2016-02-22T16:19:23.590000	7.82e-08	2016-02-22T16:19:22.570000	0.000641
2016-02-22T16:19:25.033000	2.96e-08	2016-02-22T16:19:28.087000	7.84e-08	2016-02-22T16:19:27.060000	0.00064
2016-02-22T16:19:29.040000	2.96e-08	2016-02-22T16:19:32.087000	7.82e-08	2016-02-22T16:19:31.060000	0.00064
2016-02-22T16:19:33.537000	2.96e-08	2016-02-22T16:19:36.097000	7.84e-08	2016-02-22T16:19:35.063000	0.00064
2016-02-22T16:19:37.540000	2.96e-08	2016-02-22T16:19:40.577000	7.82e-08	2016-02-22T16:19:39.560000	0.00064
2016-02-22T16:19:42.043000	2.96e-08	2016-02-22T16:19:44.597000	7.84e-08	2016-02-22T16:19:43.570000	0.00064
2016-02-22T16:19:46.053000	2.96e-08	2016-02-22T16:19:49.093000	7.82e-08	2016-02-22T16:19:48.063000	0.00064
2016-02-22T16:19:50.533000	2.96e-08	2016-02-22T16:19:53.577000	7.84e-08	2016-02-22T16:19:52.563000	0.00064
2016-02-22T16:19:54.537000	2.96e-08	2016-02-22T16:19:57.587000	7.82e-08	2016-02-22T16:19:57.063000	0.00064
2016-02-22T16:19:58.537000	2.96e-08	2016-02-22T16:20:01.607000	7.84e-08	2016-02-22T16:20:01.577000	0.00064
2016-02-22T16:20:03.040000	2.96e-08	2016-02-22T16:20:06.097000	7.82e-08	2016-02-22T16:20:06.073000	0.00064
2016-02-22T16:20:07.537000	2.96e-08	2016-02-22T16:20:10.590000	7.84e-08	2016-02-22T16:20:10.570000	0.00064
2016-02-22T16:20:12.037000	2.96e-08	2016-02-22T16:20:14.600000	7.82e-08	2016-02-22T16:20:14.573000	0.00064
2016-02-22T16:20:16.550000	2.96e-08	2016-02-22T16:20:19.077000	7.82e-08	2016-02-22T16:20:19.053000	0.00064
2016-02-22T16:20:21.040000	2.96e-08	2016-02-22T16:20:23.080000	7.8e-08	2016-02-22T16:20:23.053000	0.00064
2016-02-22T16:20:25.537000	2.96e-08	2016-02-22T16:20:27.090000	7.82e-08	2016-02-22T16:20:27.063000	0.00064
2016-02-22T16:20:30.060000	2.96e-08	2016-02-22T16:20:31.107000	7.82e-08	2016-02-22T16:20:31.077000	0.00064
2016-02-22T16:20:34.533000	2.96e-08	2016-02-22T16:20:35.600000	7.82e-08	2016-02-22T16:20:35.573000	0.000638
2016-02-22T16:20:38.533000	2.96e-08	2016-02-22T16:20:40.107000	7.82e-08	2016-02-22T16:20:40.077000	0.000638
2016-02-22T16:20:43.027000	2.96e-08	2016-02-22T16:20:44.570000	7.82e-08	2016-02-22T16:20:44.547000	0.000638
2016-02-22T16:20:47.527000	2.96e-08	2016-02-22T16:20:48.570000	7.82e-08	2016-02-22T16:20:48.547000	0.000638
2016-02-22T16:20:52.027000	2.96e-08	2016-02-22T16:20:53.067000	7.82e-08	2016-02-22T16:20:52.547000	0.000638
